SPECGRP,SPECGRPN,NAME,ADDRESS,CITY,ZIP,COUNTY,ASSETS,DEPOSITS, DEPDOM ,EQUITY,NETINC,ROA,ROE,OFFDOM,WEBADDR,NAMEHCR,ROAPTX,TRUST,CERTCONS,BKCLASS,CHRTAGNT,ENDEFYMD,ESTYMD,INSDATE,REPDTE,RISDATE,STCHRTR,STCNTY,FLDOFF,REGAGNT,OFFFOR,STALPHCR,STMULT,SUBCHAPS
4,Commercial Lending Specialization,Commerce Bank,306 South Cass Street,Corinth,38834,Alcorn,90179,77855,77855,12107,1215,1.78,13.81,1,http://www.cnbcorinth.com,Commerce Holding Corporation,1.78,0,0,SM,STATE,12/31/9999,1/19/1999,1/19/1999,9/30/2014,9/30/2014,1,28003,Jackson Ms,FED,0,MS,0,1
4,Commercial Lending Specialization,DeSoto County Bank,6040 Highway 51 North,Horn Lake,38637,Desoto,81801,71702,71702,9294,468,0.78,6.91,2,www.desotobank.com, ,1.39,0,0,NM,STATE,12/31/9999,1/23/2006,1/23/2006,9/30/2014,9/30/2014,1,28033,Memphis,FDIC,0, ,0,0
4,Commercial Lending Specialization,OmniBank,531 3rd Street,Bay Springs,39422,Jasper,47827,42181,42181,5347,-314,-0.87,-7.69,3,http://NA, ,-0.87,1,0,NM,STATE,12/31/9999,1/1/1907,1/1/1934,9/30/2014,9/30/2014,1,28061,Jackson Ms,FDIC,0, ,0,0
5,Mortgage Lending Specialization,First Federal Savings and Loan Association,903 Jackson Ave,Pascagoula,39567,Jackson,276782,171117,171117,23582,897,0.44,5.18,6,www.firstwithus.com, ,0.62,0,0,SA,OCC,12/31/9999,10/28/1955,10/28/1955,9/30/2014,9/30/2014,0,28059,Jackson Ms,OCC,0, ,0,0
5,Mortgage Lending Specialization,Amory Federal Savings and Loan Association,213 2nd Ave N,Amory,38821,Monroe,95555,85287,85287,10110,119,0.16,1.58,1,www.amoryfederal.com, ,0.11,0,0,SA,OCC,12/31/9999,6/1/1934,10/29/1934,9/30/2014,9/30/2014,0,28095,Jackson Ms,OCC,0, ,0,0
5,Mortgage Lending Specialization,"Grand Bank for Savings, FSB",204 Westover Drive,Hattiesburg,39402,Lamar,92687,79279,79279,12421,531,0.72,5.67,2,www.grandbankfsb.com, ,0.72,0,0,SA,OCC,12/31/9999,1/1/1968,4/13/1977,9/30/2014,9/30/2014,0,28073,Jackson Ms,OCC,0, ,0,1
5,Mortgage Lending Specialization,First Federal Savings and Loan Association,111 West Commerce Street,Aberdeen,39730,Monroe,30314,23698,23698,6580,140,0.6,2.86,1,firstfederalaberdeen.com, ,0.93,0,0,SA,OCC,12/31/9999,3/23/1936,3/23/1936,9/30/2014,9/30/2014,0,28095,Jackson Ms,OCC,0, ,0,0
7,Other Specialized Lending < 1 Billion,Merchants & Marine Bank,3118 Pascagoula Street,Pascagoula,39567,Jackson,566436,460441,460441,59733,4194,0.93,9.92,12,WWW.MANDMBANK.COM,"Merchants & Marine Bancorp, Inc.",1.3,1,0,NM,STATE,12/31/9999,1/11/1932,1/1/1934,9/30/2014,9/30/2014,1,28059,Jackson Ms,FDIC,0,MS,1,0
7,Other Specialized Lending < 1 Billion,The Peoples Bank,305 East Jefferson,Ripley,38663,Tippah,360425,305156,305156,37940,3033,1.12,10.94,6,WWW.PEOPLESRIPLEY.COM,"Peoples Corporation, The",1.44,1,0,NM,STATE,12/31/9999,3/3/1925,12/18/1941,9/30/2014,9/30/2014,1,28139,Memphis,FDIC,0,MS,0,0
7,Other Specialized Lending < 1 Billion,Bank of Jones County,1808 Highway 84 West,Laurel,39440,Jones,224578,194384,194384,27825,1952,1.15,9.9,2, ,"Jones County Bancshares, Inc.",1.54,1,0,NM,STATE,12/31/9999,9/21/1998,9/21/1998,9/30/2014,9/30/2014,1,28067,Jackson Ms,FDIC,0,MS,0,0
7,Other Specialized Lending < 1 Billion,Bank of Winona,312 North Applegate,Winona,38967,Montgomery,111877,96644,96644,11915,1036,1.22,12.89,1,bankofwinona.com,"Bancorp Of Winona, Inc.",1.22,1,0,NM,STATE,12/31/9999,1885-06-15,1/1/1934,9/30/2014,9/30/2014,1,28097,Jackson Ms,FDIC,0,MS,0,1
7,Other Specialized Lending < 1 Billion,Merchants and Planters Bank,308 Raymond Square,Raymond,39154,Hinds,86739,78796,78796,7542,197,0.3,3.63,5,http://www.mpbank.net, ,0.39,1,0,NM,STATE,12/31/9999,2/1/1906,1/1/1934,9/30/2014,9/30/2014,1,28049,Jackson Ms,FDIC,0, ,0,0
7,Other Specialized Lending < 1 Billion,Peoples Bank & Trust Company,106 E Main St,North Carrollton,38947,Carroll,64048,54920,54920,8979,495,1.03,7.56,2, ,Peoples Commerce Corporation,1.4,1,0,NM,STATE,12/31/9999,1/1/1918,1/1/1934,9/30/2014,9/30/2014,1,28015,Jackson Ms,FDIC,0,MS,0,0
7,Other Specialized Lending < 1 Billion,Bank of Benoit,28-30 Main Street,Benoit,38725,Bolivar,18063,16051,16051,1949,52,0.38,3.62,1, , ,0.38,0,0,NM,STATE,12/31/9999,1/1/1904,5/6/1941,9/30/2014,9/30/2014,1,28011,Jackson Ms,FDIC,0, ,0,0
